,blue,catholic,display,estimated_total_visits,green,lat,lon,name,no_religion,no_withdrawn,estimated_non_christian_string,other,other_christian,other_religion,other_string,protestant,radius_freq,red,pupils_total_2024_25,unclassified,url
301-0754,104.0,1.6666666666666667,Ballylinney Presbyterian Church: monthly<br>Crown Jesus Ministries: 7 visits<br>Doagh Methodist Church: 4 or 5 visits<br>Kilbride Presbyterian Church: 4 or 5 visits<br>Stand By Me: 4 or 5 visits<br>Youth For Christ: 7 visits,35.0,90.0,54.738077,-6.042388,"Doagh Primary School, Ballyclare",37.0,5 or fewer,34-41 (27-33%),49.5,10.0,1.6666666666666667,48-51 (39-41%),72.0,171.47791347061914,218.0,124.0,1.6666666666666667,35.0
301-0779,127.0,2.5,Ballylinney Presbyterian: monthly<br>Kingsmoss Gospel Hall: termly<br>Scripture Union: termly<br>Stand By Me: termly<br>Youth For Christ: termly,21.0,62.0,54.716772,-6.001527,"The Thompson Primary School, Ballyclare",24.0,Zero,25-50 (15-29%),90.0,43.0,2.5,90 (53%),77.0,166.29380029920657,195.0,171.0,22.0,21.0
301-0780,96.0,7.5,Ballymena First Presbyterian Church: 1-3/month<br>Ballymena Gospel Hall: 1-3/month<br>Cloughwater Presbyterian Church: 1-3/month<br>Hope for Youth Ministries: <1/month<br>Reformed Presbyterian: 1-3/month<br>Scripture Union: <1/month,46.0,102.0,54.896659,-6.262434,"Kirkinriola Primary School, Ballymena",16.0,5 or fewer,16-20 (18-22%),31.0,13.0,0.0,31 (34%),52.0,189.59317857894183,226.0,91.0,2.5,46.0
301-0781,136.0,7.0,No External Visitors,0.0,51.0,54.859392,-6.273023,"Harryville Primary School, Ballymena",30.0,Zero,30-81 (13-35%),139.0,58.0,0.0,139 (61%),83.0,171.9859147943908,185.0,229.0,51.0,0.0
301-0785,123.0,2.5,Child Evangelism Fellowship: <1/month<br>Church of Ireland: <1/month<br>Evangelical Church: <1/month<br>Gospel Hall: <1/month<br>Scripture Union: <1/month<br>Stand By Me: <1/month,19.0,66.0,54.728552,-5.774239,"Eden Primary School, Carrickfergus",48.0,Zero,48-52 (24-26%),68.5,18.0,0.0,67-70 (34-35%),129.0,166.7575299922069,199.0,200.0,2.5,19.0
301-0787,142.0,2.5,Causeway Coast Vineyard: <1/month<br>Child Evangelism Fellowship: <1/month<br>Hebron Free Presbyterian: <1/month,10.0,44.0,55.047731,-6.505037,"Lislagan Primary School, Ballymoney",29.0,Zero,29-36 (26-32%),35.5,2.5,0.0,34-37 (31-33%),73.0,138.351609749755,178.0,111.0,4.0,10.0
301-0794,73.0,2.5,Ahoghill Gospel Hall: <1/month<br>Ballymena Gospel Hall: <1/month<br>Brookside Presbyterian: <1/month<br>Crown Jesus Ministries: <1/month<br>First Ballymena: <1/month<br>Green Pastures: <1/month<br>High Kirk: <1/month<br>Moravian Church: 1-3/month<br>St Patrick's Ballymena: <1/month<br>Trinity: <1/month<br>Wellington Presbyterian: <1/month,45.0,134.0,54.85338,-6.327438,"Gracehill Primary School, Ballymena",75.0,Zero,76-110 (18-26%),144.5,36.0,2.5,143-146 (33.7-34.4%),277.0,224.60898137379613,243.0,424.0,31.0,45.0
301-0795,167.0,0.0,No External Visitors,0.0,0.0,55.072787,-6.489871,"Landhead Primary School, Ballymoney",12.0,Zero,9-16 (18-31%),17.0,2.5,0.0,17 (33%),34.0,79.47726750741192,104.0,51.0,2.5,0.0
301-0796,142.0,7.0,Child Evangelism Fellowship: <1/month<br>Crown Jesus Ministries: <1/month<br>Drumreagh Presbyterian: <1/month<br>Hebron Free Presbyterian: <1/month<br>Scripture Union: <1/month,15.0,44.0,55.03145,-6.56373,"Eden Primary School, Ballymoney",16.0,Zero,16 (16%),29.0,13.0,0.0,29 (28%),67.0,144.53182917408134,178.0,103.0,0.0,15.0
301-0802,110.0,2.5,"Church of Ireland, Ballynure: monthly<br>Methodist Church, Ballynure: monthly<br>Presbyterian Church, Ballynure: monthly<br>Scripture Union: monthly",36.0,82.0,54.778394,-5.955464,Ballynure Primary School,28.0,Zero,29-56 (16-32%),63.5,9.0,2.5,62-65 (35-37%),110.0,169.94284547628723,212.0,176.0,24.0,36.0
