ref,name,postcode,management,pupils_total_2022_23,religion_protestant_2022_23,religion_catholic_2022_23,religion_other_2022_23,religion_protestant_est_low_2022_23,religion_catholic_est_low_2022_23,religion_other_est_low_2022_23,religion_protestant_est_mid_2022_23,religion_catholic_est_mid_2022_23,religion_other_est_mid_2022_23,religion_protestant_est_high_2022_23,religion_catholic_est_high_2022_23,religion_other_est_high_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other
101-6076,Ballysillan Primary School ,BT148LT,Controlled,236,170,*,#,170,0,62,170,2,64,170,4,66,BT148LT,54.630789,-5.969197,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,153.62291495737216,170,0-4,62-66
101-6205,Fane Street Primary School ,BT97BW,Controlled,324,68,16,240,68,16,240,68,16,240,68,16,240,BT97BW,54.585229,-5.951262,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,180,68,16,240
101-6207,Blythefield Primary School ,BT125HX,Controlled,197,160,*,#,160,0,33,160,2,35,160,4,37,BT125HX,54.590606,-5.940935,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,140.3566885,160,0-4,33-37
101-6242,Dundela Infants School,BT43BL,Controlled,278,113,22,143,113,22,143,113,22,143,113,22,143,BT43BL,54.599769,-5.876341,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,166.73332000533065,113,22,143
101-6485,Glenwood Primary School ,BT133GW,Controlled,523,437,11,75,437,11,75,437,11,75,437,11,75,BT133GW,54.605844,-5.956231,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,228.69193252058545,437,11,75
101-6498,Malvern Primary School ,BT131HW,Controlled,157,#,*,87,66,0,87,68,2,87,70,4,87,BT131HW,54.606006,-5.944089,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,125.29964086141668,66-70,0-4,87
101-6499,Botanic Primary School ,BT71QY,Controlled,224,53,18,153,53,18,153,53,18,153,53,18,153,BT71QY,54.582133,-5.929312,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,149.66629547095766,53,18,153
101-6532,Wheatfield Primary School ,BT147JE,Controlled,171,93,*,#,93,0,74,93,2,76,93,4,78,BT147JE,54.61958,-5.963036,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,130.7669683062202,93,0-4,74-78
101-6537,Lowwood Primary School ,BT154BL,Controlled,237,116,11,110,116,11,110,116,11,110,116,11,110,BT154BL,54.634469,-5.924499,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,153.94804318340653,116,11,110
101-6604,Harmony Primary School ,BT133SY,Controlled,284,247,*,#,247,0,33,247,2,35,247,4,37,BT133SY,54.615422,-5.982998,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,168.5229954635272,247,0-4,33-37
101-6647,Bunscoil Mhic Reachtain,BT151EZ,Controlled,68,0,#,*,0,64,0,0,66,2,0,68,4,BT151EZ,54.606314,-5.929988,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,82.46211251235322,0,64-68,0-4
101-6655,Victoria Park Primary School,BT41LX,Controlled,383,229,16,138,229,16,138,229,16,138,229,16,138,BT41LX,54.604443,-5.882118,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,195.70385790780927,229,16,138
103-0194,Holy Cross Boys' Primary School ,BT147EX,Roman Catholic Maintained,401,0,#,*,0,397,0,0,399,2,0,401,4,BT147EX,54.613824,-5.95902,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,200.24984394500788,0,397-401,0-4
103-0313,Our Lady of Lourdes Primary School ,BT155GQ,Roman Catholic Maintained,618,*,583,#,0,583,31,2,583,33,4,583,35,BT155GQ,54.645265,-5.936343,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,248.59605789312104,0-4,583,31-35
103-0326,Our Lady's Girls' Primary School ,BT146NN,Roman Catholic Maintained,215,0,202,13,0,202,13,0,202,13,0,202,13,BT146NN,54.622333,-5.954723,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,146.6287829861518,0,202,13
103-0327,Holy Rosary Primary School ,BT73DB,Roman Catholic Maintained,469,25,221,223,25,221,223,25,221,223,25,221,223,BT73DB,54.575726,-5.924069,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,216.56407827707713,25,221,223
103-0331,Holy Cross Girls' Primary School ,BT147HZ,Roman Catholic Maintained,195,*,187,#,0,187,4,2,187,6,4,187,8,BT147HZ,54.619665,-5.968111,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,139.64240043768942,0-4,187,04-Aug
103-0868,St Anne's Primary School ,BT100NE,Roman Catholic Maintained,882,*,804,#,0,804,74,2,804,76,4,804,78,BT100NE,54.553711,-5.99478,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,296.98484809834997,0-4,804,74-78
103-6041,Mercy Primary School ,BT147GL,Roman Catholic Maintained,233,0,218,15,0,218,15,0,218,15,0,218,15,BT147GL,54.616832,-5.970079,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,152.64337522473747,0,218,15
103-6042,St Vincent de Paul Primary School ,BT148DP,Roman Catholic Maintained,289,5,261,23,5,261,23,5,261,23,5,261,23,BT148DP,54.626198,-5.98375,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,170,5,261,23
103-6048,St Mary's Star of the Sea Primary School ,BT154HL,Roman Catholic Maintained,134,*,120,#,0,120,10,2,120,12,4,120,14,BT154HL,54.64153,-5.92493,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,115.75836902790226,0-4,120,Oct-14
103-6075,St Bride's Primary School ,BT96FP,Roman Catholic Maintained,855,29,567,259,29,567,259,29,567,259,29,567,259,BT96FP,54.578167,-5.943836,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,292.4038303442689,29,567,259
103-6132,St Therese of Lisieux Primary School ,BT155GF,Roman Catholic Maintained,420,*,385,#,0,385,31,2,385,33,4,385,35,BT155GF,54.630367,-5.938957,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,204.93901531919195,0-4,385,31-35
103-6140,St Michael's Primary School ,BT60BW,Roman Catholic Maintained,416,*,365,#,0,365,47,2,365,49,4,365,51,BT60BW,54.579297,-5.91224,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,203.9607805437114,0-4,365,47-51
103-6246,St Joseph's Primary School ,BT56EH,Roman Catholic Maintained,385,6,309,70,6,309,70,6,309,70,6,309,70,BT56EH,54.594685,-5.870834,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,196.21416870348583,6,309,70
103-6388,"St Mary's Primary School, Divis Street",BT124AL,Roman Catholic Maintained,135,26,45,64,26,45,64,26,45,64,26,45,64,BT124AL,54.599591,-5.938794,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,116.1895003862225,26,45,64
103-6466,St Malachy's Primary School ,BT72BJ,Roman Catholic Maintained,392,*,#,202,0,186,202,2,188,202,4,190,202,BT72BJ,54.593294,-5.923624,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,197.9898987322333,0-4,186-190,202
103-6471,Sacred Heart Primary School ,BT146HH,Roman Catholic Maintained,158,*,145,#,0,145,9,2,145,11,4,145,13,BT146HH,54.616187,-5.949969,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,125.69805089976535,0-4,145,Sep-13
103-6505,St Matthew's Primary School ,BT54EW,Roman Catholic Maintained,334,*,252,#,0,252,78,2,252,80,4,252,82,BT54EW,54.599014,-5.906743,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,182.75666882497066,0-4,252,78-82
103-6565,St Kevin's Primary School ,BT126EN,Roman Catholic Maintained,564,*,468,#,0,468,92,2,468,94,4,468,96,BT126EN,54.588061,-5.97004,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,237.48684174075834,0-4,468,92-96
103-6566,Holy Family Primary School ,BT152HP,Roman Catholic Maintained,486,*,394,#,0,394,88,2,394,90,4,394,92,BT152HP,54.615547,-5.935015,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,220.45407685048602,0-4,394,88-92
103-6576,Holy Child Primary School ,BT118JF,Roman Catholic Maintained,493,0,#,*,0,489,0,0,491,2,0,493,4,BT118JF,54.576323,-5.991334,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,222.03603311174518,0,489-493,0-4
103-6589,St Teresa's Primary School ,BT118BL,Roman Catholic Maintained,612,0,576,36,0,576,36,0,576,36,0,576,36,BT118BL,54.581356,-5.989771,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,247.3863375370596,0,576,36
103-6602,St Oliver Plunkett Primary School ,BT118AY,Roman Catholic Maintained,643,*,632,#,0,632,7,2,632,9,4,632,11,BT118AY,54.576265,-6.013392,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,253.57444666211933,0-4,632,07-Nov
103-6620,St Peter's Primary School ,BT124JD,Roman Catholic Maintained,295,*,#,*,0,287,0,2,291,2,4,295,4,BT124JD,54.597812,-5.947287,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,171.75564037317667,0-4,287-295,0-4
103-6621,St Joseph's Primary School ,BT124LD,Roman Catholic Maintained,334,*,269,#,0,269,61,2,269,63,4,269,65,BT124LD,54.595862,-5.946689,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,182.75666882497066,0-4,269,61-65
103-6623,Holy Trinity Primary School ,BT118EG,Roman Catholic Maintained,640,*,630,#,0,630,6,2,630,8,4,630,10,BT118EG,54.587676,-5.992709,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,252.98221281347037,0-4,630,06-Oct
103-6624,St Paul's Primary School ,BT127NN,Roman Catholic Maintained,372,*,266,#,0,266,102,2,266,104,4,266,106,BT127NN,54.595691,-5.967959,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,192.8730152198591,0-4,266,102-106
103-6630,St Clare's Primary School,BT132SE,Roman Catholic Maintained,470,9,369,92,9,369,92,9,369,92,9,369,92,BT132SE,54.601173,-5.959514,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,216.7948339,9,369,92
103-6688,St John the Baptist Primary School ,BT119EH,Roman Catholic Maintained,385,*,363,#,0,363,18,2,363,20,4,363,22,BT119EH,54.571853,-5.994307,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,196.21416870348583,0-4,363,18-22
103-6697,John Paul II Primary School ,BT127FW,Roman Catholic Maintained,326,0,312,14,0,312,14,0,312,14,0,312,14,BT127FW,54.594043,-5.987119,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,180.55470085267788,0,312,14
103-6698,St Patricks Primary School,BT152BP,Roman Catholic Maintained,438,*,357,#,0,357,77,2,357,79,4,357,81,BT152BP,54.609663,-5.935127,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,209.2844953645635,0-4,357,77-81
104-6501,Bunscoil Phobal Feirste,BT119QS,Other Maintained,423,0,387,36,0,387,36,0,387,36,0,387,36,BT119QS,54.574239,-6.004938,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,205.66963801203133,0,387,36
104-6571,Gaelscoil na BhFál,BT126AW,Other Maintained,219,0,195,24,0,195,24,0,195,24,0,195,24,BT126AW,54.590618,-5.96176,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,147.9864858694874,0,195,24
104-6593,Bunscoil An Tsleibhe Dhuibh,BT127JL,Other Maintained,215,0,196,19,0,196,19,0,196,19,0,196,19,BT127JL,54.592225,-5.980463,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,146.6287829861518,0,196,19
104-6596,Naíscoil & Bunscoil Bheann Mhadagáin,BT146HP,Other Maintained,202,0,190,12,0,190,12,0,190,12,0,190,12,BT146HP,54.616937,-5.949653,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,142.12670403551894,0,190,12
104-6641,Scoil an Droichid,BT72EP,Other Maintained,188,*,133,#,0,133,51,2,133,53,4,133,55,BT72EP,54.588406,-5.922093,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,137.11309200802089,0-4,133,51-55
104-6671,Gaelscoil na Móna,BT118QB,Other Maintained,117,0,#,*,0,113,0,0,115,2,0,117,4,BT118QB,54.586173,-5.993123,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,108.16653826391969,0,113-117,0-4
